Fecha;Latitud;Longitud;Precipitacion;Año;Mes;P3;P12;SPI-3;SPI-12
2006-01-01;-24.2;-55.4;154.817687988281;2006;1;;;;
2006-02-01;-24.2;-55.4;60.2537841796875;2006;2;;;;
2006-03-01;-24.2;-55.4;118.251220703125;2006;3;333.3226928710935;;1.2486879633317405;
2006-04-01;-24.2;-55.4;19.395881652832;2006;4;197.9008865356445;;-0.3230543639859755;
2006-05-01;-24.2;-55.4;185.28483581543;2006;5;322.931938171387;;1.0362729051107669;
2006-06-01;-24.2;-55.4;122.17472076416;2006;6;326.855438232422;;0.8045405817624506;
2006-07-01;-24.2;-55.4;63.9967002868652;2006;7;371.45625686645525;;1.0474289307839635;
2006-08-01;-24.2;-55.4;40.6870307922363;2006;8;226.8584518432615;;0.018915502047710135;
2006-09-01;-24.2;-55.4;46.4738693237305;2006;9;151.157600402832;;-0.8172032451530243;
2006-10-01;-24.2;-55.4;134.833480834961;2006;10;221.9943809509278;;-0.5267385551353557;
2006-11-01;-24.2;-55.4;148.230804443359;2006;11;329.5381546020505;;-0.5022223977043174;
2006-12-01;-24.2;-55.4;147.975051879883;2006;12;431.039337158203;1242.3750686645506;-0.1543058490473687;0.24561278595430236
2007-01-01;-24.2;-55.4;96.959228515625;2007;1;393.16508483886696;1184.5166091918945;-0.1623127559415874;-0.017949588551956306
2007-02-01;-24.2;-55.4;96.0040512084961;2007;2;340.93833160400413;1220.2668762207031;0.2698919139194957;0.15607985926240786
2007-03-01;-24.2;-55.4;59.1568794250488;2007;3;252.1201591491699;1161.172534942627;-0.034737603831841234;-0.13787430591100805
2007-04-01;-24.2;-55.4;67.1072616577148;2007;4;222.2681922912597;1208.8839149475095;0.05436298669298709;0.09431231950440369
2007-05-01;-24.2;-55.4;83.089599609375;2007;5;209.35374069213862;1106.6886787414546;-0.3717699495052443;-0.41644857681674863
2007-06-01;-24.2;-55.4;43.6323394775391;2007;6;193.8292007446289;1028.1462974548338;-0.9022554104547745;-0.8265318402783554
2007-07-01;-24.2;-55.4;33.6190032958984;2007;7;160.3409423828125;997.768600463867;-1.4986609326251077;-1.0429372961888028
2007-08-01;-24.2;-55.4;36.6311264038086;2007;8;113.8824691772461;993.7126960754393;-1.6572436234506542;-1.0478511406195896
2007-09-01;-24.2;-55.4;29.4834365844727;2007;9;99.73356628417972;976.7222633361814;-1.718217031508079;-1.1754359077755305
2007-10-01;-24.2;-55.4;108.839813232422;2007;10;174.9543762207033;950.7285957336426;-1.1087386643076704;-1.243221450882662
2007-11-01;-24.2;-55.4;145.882751464844;2007;11;284.20600128173874;948.3805427551275;-0.9615828757577611;-1.2639004181165503
2007-12-01;-24.2;-55.4;189.037033081055;2007;12;443.759597778321;989.4425239562995;-0.03474899192487691;-1.0522958187913518
2008-01-01;-24.2;-55.4;57.3876571655273;2008;1;392.3074417114263;949.8709526062019;-0.17218285623107413;-1.2891089289062532
2008-02-01;-24.2;-55.4;52.3407897949219;2008;2;298.7654800415042;906.2076911926276;-0.3162126724432798;-1.562657129333632
2008-03-01;-24.2;-55.4;84.1425476074219;2008;3;193.8709945678711;931.1933593750008;-1.1383361514804666;-1.3828955623011816
