Fecha;Latitud;Longitud;Precipitacion;Año;Mes;P3;P12;SPI-3;SPI-12
1961-01-01;-24.2;-55.4;83.5872344970703;1961;1;;;;
1961-02-01;-24.2;-55.4;174.544586181641;1961;2;;;;
1961-03-01;-24.2;-55.4;257.097473144531;1961;3;515.2292938232423;;1.0449222713462498;
1961-04-01;-24.2;-55.4;77.4871978759766;1961;4;509.1292572021486;;1.843189913239708;
1961-05-01;-24.2;-55.4;140.717437744141;1961;5;475.3021087646486;;2.2622043621205674;
1961-06-01;-24.2;-55.4;27.1305313110352;1961;6;245.3351669311528;;0.4976271787615706;
1961-07-01;-24.2;-55.4;39.1714248657227;1961;7;207.01939392089886;;0.13256648424219136;
1961-08-01;-24.2;-55.4;26.1254692077637;1961;8;92.4274253845216;;-1.904783429067146;
1961-09-01;-24.2;-55.4;41.7528839111328;1961;9;107.0497779846192;;-2.436470690175729;
1961-10-01;-24.2;-55.4;83.6958541870117;1961;10;151.5742073059082;;-2.6444928323206347;
1961-11-01;-24.2;-55.4;198.935852050781;1961;11;324.3845901489255;;-0.8182450119489676;
1961-12-01;-24.2;-55.4;113.241844177246;1961;12;395.87355041503866;1263.487789154053;-0.5177710753888567;-0.3251080410642478
1962-01-01;-24.2;-55.4;155.548843383789;1962;1;467.726539611816;1335.4493980407717;0.048298059008584665;0.021767881144733197
1962-02-01;-24.2;-55.4;105.183959960938;1962;2;373.974647521973;1266.0887718200688;-0.601516365614776;-0.29824176354315085
1962-03-01;-24.2;-55.4;77.2693023681641;1962;3;338.0021057128911;1086.2606010437019;-0.5485919223891492;-1.142146990089181
1962-04-01;-24.2;-55.4;104.75057220459;1962;4;287.2038345336921;1113.5239753723151;-0.4042463441119844;-1.016132116378167
1962-05-01;-24.2;-55.4;14.1958608627319;1962;5;196.21573543548598;987.002398490906;-0.7928945815852761;-1.6305593601370532
1962-06-01;-24.2;-55.4;27.7748413085938;1962;6;146.7212743759157;987.6467084884647;-0.7458908165624089;-1.6525759647892584
1962-07-01;-24.2;-55.4;76.0729446411133;1962;7;118.043646812439;1024.5482282638552;-1.000495752021476;-1.4267533527615723
1962-08-01;-24.2;-55.4;34.2262229919434;1962;8;138.0740089416505;1032.6489820480351;-1.1042109869962393;-1.434934070120546
1962-09-01;-24.2;-55.4;137.164367675781;1962;9;247.46353530883766;1128.060465812683;-0.2486659891606895;-0.9515045510286995
1962-10-01;-24.2;-55.4;84.5705718994141;1962;10;255.9611625671385;1128.9351835250857;-0.939766448393871;-0.9513685461011896
1962-11-01;-24.2;-55.4;164.895401000977;1962;11;386.63034057617205;1094.8947324752817;0.02466265588369938;-1.136890635588597
1962-12-01;-24.2;-55.4;213.890609741211;1962;12;463.356582641602;1195.5434980392465;0.20557793784508646;-0.6554748713223811
1963-01-01;-24.2;-55.4;166.103866577148;1963;1;544.8898773193359;1206.0985212326054;0.6786159313649539;-0.590067231955409
1963-02-01;-24.2;-55.4;253.704223632812;1963;2;633.698699951171;1354.6187849044795;1.3106527672015098;0.10787666661265395
1963-03-01;-24.2;-55.4;76.028923034668;1963;3;495.837013244628;1353.3784055709834;0.890316396888845;0.11239774240647987
1963-04-01;-24.2;-55.4;34.3417816162109;1963;4;364.0749282836909;1282.9696149826043;0.4739106360038751;-0.20307202477445835
1963-05-01;-24.2;-55.4;150.137130737305;1963;5;260.5078353881839;1418.9108848571773;0.08795011300035409;0.40188448810330446
1963-06-01;-24.2;-55.4;59.5178604125977;1963;6;243.99677276611357;1450.6539039611814;0.4832490630976521;0.5270647303123592
1963-07-01;-24.2;-55.4;59.8327789306641;1963;7;269.48777008056675;1434.4137382507322;0.7406769934225684;0.4497728134858814
1963-08-01;-24.2;-55.4;91.2736434936523;1963;8;210.62428283691406;1491.4611587524412;-0.14989397394866846;0.6902139467326301
1963-09-01;-24.2;-55.4;68.5903015136719;1963;9;219.69672393798825;1422.887092590332;-0.5949131191429581;0.3966947731174629
1963-10-01;-24.2;-55.4;111.382263183594;1963;10;271.2462081909182;1449.698783874512;-0.7335302527777666;0.48980641103426464
1963-11-01;-24.2;-55.4;145.4072265625;1963;11;325.37979125976585;1430.210609436035;-0.8039458518580634;0.4230217652183153
1963-12-01;-24.2;-55.4;107.070907592773;1963;12;363.860397338867;1323.390907287597;-0.8902227565858866;-0.04358175249743321
1964-01-01;-24.2;-55.4;133.67887878418;1964;1;386.15701293945295;1290.965919494629;-0.698843214057607;-0.18397574167041558
1964-02-01;-24.2;-55.4;140.88850402832;1964;2;381.638290405273;1178.150199890137;-0.5339944429374487;-0.720949459808877
1964-03-01;-24.2;-55.4;113.665870666504;1964;3;388.23325347900396;1215.7871475219729;-0.04938813663396792;-0.5106544164887722
1964-04-01;-24.2;-55.4;91.4803848266602;1964;4;346.03475952148415;1272.9257507324223;0.2798466833481272;-0.24918205010008773
1964-05-01;-24.2;-55.4;32.2035636901855;1964;5;237.34981918334964;1154.9921836853025;-0.21041098988787146;-0.7798958557137807
1964-06-01;-24.2;-55.4;65.3384017944336;1964;6;189.02235031127924;1160.8127250671384;-0.1591811220807;-0.7698511039449918
1964-07-01;-24.2;-55.4;66.2098388671875;1964;7;163.75180435180653;1167.1897850036619;-0.36500896649897197;-0.7242606534147124
1964-08-01;-24.2;-55.4;154.582122802734;1964;8;286.130363464355;1230.4982643127437;0.6290790357302524;-0.45362620767895173
1964-09-01;-24.2;-55.4;137.733001708984;1964;9;358.52496337890545;1299.6409645080557;0.9217207779927962;-0.14171436959782102
